;Nd;N_Points;Function_np;Numpy construct;MoCaX construct;MoCaX Cheb. eval;MoCaX check;Function_rn;Numpy_rn;MoCaX_rn;Numpy approx;MoCaX approx;MoCaX check rn.
0;4;125;0.0240328311920166;0.0;0.023037195205688477;0.0009806156158447266;1.1449174941446927e-16;0.023023128509521484;0.0009970664978027344;0.0;0.05660052293309574;0.05660052293309596;1.1449174941446927e-16
1;4;125;0.024040937423706055;0.0;0.0230405330657959;0.0010013580322265625;1.1449174941446927e-16;0.025000810623168945;0.0;0.0009899139404296875;0.05974673520839759;0.05974673520839766;1.1449174941446927e-16
2;4;125;0.022994518280029297;0.0;0.025104522705078125;0.0010066032409667969;1.1449174941446927e-16;0.021992206573486328;0.0010001659393310547;0.0010001659393310547;0.05170438696626634;0.05170438696626637;1.1449174941446927e-16
3;8;729;0.12504243850708008;0.000990152359008789;0.12199902534484863;0.005999326705932617;2.7755575615628914e-16;0.12304067611694336;0.0009930133819580078;0.005967140197753906;0.03283312582489306;0.03283312582489293;2.7755575615628914e-16
4;8;729;0.12603092193603516;0.0010008811950683594;0.12102651596069336;0.005993366241455078;2.7755575615628914e-16;0.11900687217712402;0.0009942054748535156;0.0070056915283203125;0.03354391053865163;0.03354391053865152;2.7755575615628914e-16
5;8;729;0.13602209091186523;0.0010006427764892578;0.12200212478637695;0.00603032112121582;2.7755575615628914e-16;0.11800146102905273;0.0019719600677490234;0.006028413772583008;0.018932751069675957;0.018932751069675957;2.7755575615628914e-16
6;12;2197;0.3760216236114502;0.00399470329284668;0.37396931648254395;0.024042844772338867;3.885780586188048e-16;0.3852403163909912;0.003999948501586914;0.026999711990356445;0.021751958803845343;0.021751958803845322;3.885780586188048e-16
7;12;2197;0.36603212356567383;0.0039997100830078125;0.3665130138397217;0.024000167846679688;3.885780586188048e-16;0.3690013885498047;0.003000020980834961;0.0280001163482666;0.02348473095798935;0.02348473095798919;3.885780586188048e-16
8;12;2197;0.3687725067138672;0.004969120025634766;0.3700106143951416;0.023030519485473633;3.885780586188048e-16;0.370009183883667;0.003993034362792969;0.02899909019470215;0.020848466978990787;0.020848466978990725;3.885780586188048e-16
9;16;4913;0.8230888843536377;0.01602792739868164;0.8260469436645508;0.07197141647338867;4.440892098500626e-16;0.833303689956665;0.015031099319458008;0.09699535369873047;0.01471215345800081;0.014712153458000948;4.440892098500626e-16
10;16;4913;0.825855016708374;0.017005443572998047;0.819005012512207;0.07096147537231445;4.440892098500626e-16;0.8430356979370117;0.015000581741333008;0.0939788818359375;0.014706359408502415;0.014706359408502477;4.440892098500626e-16
11;16;4913;0.833599328994751;0.01699519157409668;0.8410053253173828;0.07202911376953125;4.440892098500626e-16;0.8289806842803955;0.015001058578491211;0.09301018714904785;0.01835099385365388;0.01835099385365404;4.440892098500626e-16
12;20;9261;1.572373628616333;0.04600119590759277;1.5325109958648682;0.19701457023620605;5.551115123125783e-16;1.5716662406921387;0.04300045967102051;0.27823710441589355;0.013705340981016383;0.013705340981016417;5.551115123125783e-16
13;20;9261;1.5930907726287842;0.043994903564453125;1.5428204536437988;0.20400094985961914;5.551115123125783e-16;1.5771064758300781;0.043000221252441406;0.2720358371734619;0.011821592429953912;0.011821592429954023;5.551115123125783e-16
14;20;9261;1.736074447631836;0.05204582214355469;1.6781771183013916;0.20699238777160645;5.551115123125783e-16;1.5950493812561035;0.04400134086608887;0.29416322708129883;0.012594787039933412;0.012594787039933575;5.551115123125783e-16
